iter	RMSE
0	74523.51198
1	72474.5596
2	70428.67085
3	68454.72494
4	66575.19465
5	64673.13732
6	62670.60348
7	60848.57557
8	59348.6787
9	57630.46495
10	56050.10635
11	54639.28102
12	53258.092
13	51867.81123
14	50789.06936
15	49662.50503
16	48532.62516
17	47386.14209
18	46206.84022
19	45213.29191
20	44280.38179
21	43270.40444
22	42391.64672
23	41546.45566
24	40683.5104
25	39976.10089
26	39241.44385
27	38536.50367
28	38012.95351
29	37546.05228
30	36834.15044
31	36365.5262
32	35877.22831
33	35332.79934
34	34907.44437
35	34450.70247
36	33909.36694
37	33465.57321
38	32902.88705
39	32465.691
40	31943.49824
41	31604.28242
42	31218.52766
43	30918.2029
44	30625.50458
45	30256.39392
46	29923.94033
47	29617.26734
48	29326.74941
49	29027.08057
50	28719.32141
51	28392.07863
52	28130.17355
53	27917.21091
54	27669.92026
55	27476.98464
56	27186.51072
57	27016.12651
58	26791.49746
59	26583.0077
60	26498.63026
61	26271.02195
62	26095.26641
63	25963.89666
64	25773.08509
65	25635.84033
66	25509.96742
67	25400.03458
68	25285.65354
69	25162.32534
70	25038.79831
71	24917.39634
72	24834.65901
73	24756.69045
74	24658.1385
75	24545.7974
76	24442.65388
77	24353.58404
78	24274.93814
79	24192.36972
80	24150.47723
81	24085.76891
82	23989.50727
83	23869.41108
84	23833.70294
85	23757.00816
86	23662.96521
87	23607.45549
88	23558.33356
89	23471.83923
90	23459.12407
91	23398.39621
92	23337.22458
93	23324.38644
94	23245.30178
95	23200.976
96	23145.89818
97	23100.40797
98	23041.44279
99	22963.41066
100	22917.68785
101	22799.56037
102	22746.88159
103	22680.30838
104	22657.55188
105	22553.34291
106	22487.92068
107	22473.58007
108	22452.96524
109	22426.04686
110	22381.10207
111	22351.39765
112	22292.46646
113	22267.34263
114	22231.32017
115	22211.19842
116	22186.98501
117	22175.78762
118	22128.64311
119	22107.74273
120	22088.35998
121	22006.4041
122	22003.00644
123	21995.97895
124	21987.52755
125	21953.87987
126	21941.60982
127	21908.45471
128	21878.90328
129	21865.84262
130	21810.88498
131	21792.27827
132	21752.70718
133	21695.60655
134	21690.34148
135	21639.21465
136	21579.4208
137	21549.66899
138	21548.73051
139	21450.91817
140	21427.79948
141	21396.71604
142	21358.43301
143	21342.9584
144	21277.40321
145	21256.46316
146	21225.09075
147	21200.53963
148	21166.19432
149	21087.67691
150	21032.5185
151	21002.30278
152	20975.77337
153	20946.14202
154	20876.68005
155	20864.54338
156	20859.16455
157	20830.51447
158	20822.67127
159	20815.20335
160	20800.26149
161	20780.75415
162	20770.08247
163	20743.9278
164	20687.91444
165	20639.27431
166	20619.12774
167	20599.66122
168	20563.42831
169	20553.51215
170	20544.03535
171	20525.19068
172	20505.39757
173	20473.30693
174	20449.56695
175	20416.62714
176	20387.04936
177	20369.41314
178	20309.22668
179	20281.19565
180	20225.42868
181	20182.4521
182	20176.33166
183	20144.53108
184	20120.10587
185	20105.65196
186	20066.70386
187	20042.60226
188	20026.71824
189	20019.63343
190	20000.00276
191	19957.20561
192	19952.19014
193	19949.68868
194	19930.02236
195	19904.1462
196	19889.90863
197	19874.25038
198	19835.61293
199	19818.03087
200	19788.82695
201	19775.40951
202	19769.20494
203	19748.52383
204	19743.50372
205	19720.62965
206	19707.37372
207	19684.24948
208	19670.19446
209	19606.67721
210	19581.31737
211	19562.95064
212	19529.389
213	19471.87172
214	19455.39552
215	19439.55037
216	19424.18283
217	19410.53827
218	19371.98513
219	19368.5915
220	19358.12758
221	19342.83111
222	19331.78705
223	19319.71597
224	19298.66841
225	19268.97284
226	19255.53272
227	19238.94008
228	19224.4455
229	19197.62935
230	19184.68325
231	19177.54795
232	19162.77704
233	19150.86349
234	19132.69612
235	19057.42705
236	19049.1083
237	19036.91407
238	19019.56559
239	19003.10758
240	18999.79415
241	18991.41152
242	18982.38495
243	18929.28165
244	18918.46779
245	18907.99123
246	18897.90511
247	18888.54435
248	18878.35436
249	18864.1965
250	18859.79274
251	18842.78604
252	18831.00698
253	18815.08239
254	18806.19864
255	18796.82687
256	18793.89025
257	18780.22032
258	18753.90572
259	18719.91129
260	18705.24786
261	18691.28153
262	18677.1542
263	18602.08686
264	18599.31481
265	18585.99372
266	18563.54834
267	18553.24835
268	18547.34215
269	18545.41881
270	18533.04938
271	18487.84822
272	18481.24963
273	18476.52097
274	18458.06746
275	18446.51252
276	18435.49813
277	18424.18939
278	18414.04849
279	18377.60777
280	18362.29204
281	18356.39416
282	18346.38232
283	18338.29279
284	18329.60343
285	18327.56675
286	18322.96131
287	18314.98183
288	18298.20467
289	18221.98054
290	18214.06021
291	18206.00182
292	18202.41328
293	18200.79968
294	18190.40418
295	18184.29168
296	18181.84518
297	18138.0853
298	18071.99581
299	18047.61228
300	18029.92956
301	18020.52297
302	18014.19316
303	18013.14085
304	18005.16393
305	17971.35639
306	17964.95322
307	17962.85128
308	17955.54547
309	17951.00648
310	17944.16405
311	17934.00458
312	17928.91391
313	17872.06219
314	17820.84371
315	17798.36715
316	17797.01651
317	17785.90227
318	17774.01237
319	17770.42826
320	17749.42675
321	17741.39097
322	17736.88641
323	17735.21788
324	17728.35167
325	17724.85399
326	17717.10457
327	17698.16327
328	17685.14465
329	17683.78403
330	17674.44198
331	17662.94622
332	17660.08775
333	17642.7237
334	17627.74594
335	17587.52298
336	17580.61755
337	17525.10876
338	17521.24541
339	17473.30715
340	17471.34257
341	17465.49911
342	17443.23686
343	17435.00696
344	17431.3159
345	17428.46978
346	17421.35402
347	17401.21344
348	17396.26734
349	17385.68723
350	17380.14042
351	17370.20886
352	17368.37708
353	17365.19923
354	17360.6559
355	17356.00004
356	17342.89292
357	17339.24439
358	17326.52327
359	17323.37215
360	17310.92141
361	17298.87584
362	17291.61923
363	17276.28517
364	17265.02291
365	17257.08371
366	17255.00622
