iter	Passed	Remaining
0	107	107745
1	219	109687
2	365	121431
3	486	121069
4	621	123660
5	711	117868
6	851	120739
7	947	117542
8	1049	115558
9	1156	114510
10	1251	112505
11	1404	115641
12	1553	117913
13	1689	118961
14	1730	113619
15	1872	115152
16	1990	115088
17	2127	116071
18	2221	114700
19	2375	116408
20	2527	117830
21	2655	118038
22	2775	117912
23	2907	118223
24	3045	118776
25	3177	119044
26	3338	120326
27	3491	121198
28	3666	122765
29	3698	119575
30	3860	120661
31	3940	119214
32	4117	120646
33	4266	121221
34	4388	120992
35	4558	122061
36	4668	121501
37	4812	121837
38	4925	121359
39	5066	121598
40	5165	120824
41	5383	122797
42	5550	123523
43	5706	123979
44	5859	124360
45	5991	124266
46	6166	125030
47	6278	124527
48	6422	124655
49	6545	124368
50	6635	123476
51	6714	122418
52	6850	122403
53	6983	122333
54	7085	121738
55	7165	120798
56	7281	120461
57	7403	120245
58	7539	120248
59	7643	119749
60	7737	119111
61	7836	118561
62	7934	118003
63	8078	118146
64	8183	117710
65	8328	117855
66	8442	117571
67	8601	117886
68	8730	117793
69	8830	117316
70	8979	117487
71	9092	117193
72	9186	116656
73	9306	116458
74	9415	116128
75	9539	115985
76	9563	114637
77	9700	114662
78	9821	114502
79	9975	114717
80	10007	113538
81	10048	112499
82	10171	112371
83	10287	112183
84	10405	112007
85	10487	111457
86	10652	111790
87	10712	111015
88	10732	109855
89	10861	109823
90	10938	109261
91	11066	109224
92	11189	109127
93	11244	108374
94	11394	108551
95	11460	107922
96	11593	107928
97	11636	107105
98	11783	107245
99	11869	106827
100	12003	106840
101	12067	106238
102	12155	105862
103	12284	105833
104	12395	105654
105	12451	105015
106	12584	105027
107	12681	104740
108	12747	104199
109	12825	103771
110	12950	103724
111	12990	102998
112	13124	103019
113	13167	102339
114	13196	101556
115	13225	100783
116	13355	100797
117	13424	100341
118	13541	100254
119	13565	99479
120	13610	98872
121	13707	98650
122	13750	98042
123	13795	97460
124	13925	97475
125	13988	97031
126	14037	96494
127	14161	96475
128	14263	96305
129	14319	95830
130	14436	95764
131	14579	95868
132	14647	95483
133	14777	95500
134	14818	94948
135	14949	94971
136	15016	94594
137	15168	94748
138	15183	94049
139	15309	94045
140	15381	93704
141	15520	93780
142	15580	93373
143	15630	92917
144	15760	92935
145	15874	92856
146	15971	92678
147	16043	92360
148	16175	92386
149	16320	92482
150	16463	92565
151	16582	92514
152	16725	92590
153	16788	92228
154	16939	92349
155	17003	91992
156	17125	91953
157	17238	91868
158	17315	91585
159	17364	91164
160	17437	90869
161	17473	90386
162	17595	90354
163	17689	90175
164	17828	90222
165	17931	90091
166	18005	89809
167	18075	89515
168	18199	89492
169	18269	89197
170	18368	89047
171	18455	88845
172	18596	88898
173	18664	88602
174	18806	88659
175	18949	88719
176	19142	89006
177	19272	89001
178	19423	89087
179	19498	88825
180	19634	88843
181	19721	88639
182	19778	88302
183	19898	88243
184	20025	88220
185	20134	88116
186	20205	87846
187	20332	87818
188	20429	87660
189	20591	87786
190	20720	87763
191	20816	87604
192	20969	87679
193	21067	87527
194	21179	87434
195	21285	87314
196	21434	87369
197	21559	87328
198	21720	87428
199	21855	87420
200	22010	87494
201	22120	87387
202	22285	87495
203	22441	87567
204	22567	87518
205	22702	87504
206	22825	87442
207	22965	87444
208	23110	87464
209	23260	87504
210	23359	87347
211	23491	87318
212	23583	87137
213	23712	87095
214	23846	87068
215	23994	87091
216	24094	86940
217	24236	86941
218	24326	86751
219	24482	86802
220	24618	86777
221	24725	86651
222	24885	86708
223	25017	86668
224	25132	86568
225	25265	86527
